gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgRevenuePerMonth,IsNewCustomer,ChargesPerServiceYear,Cluster,Segment,Recommendation,ChurnProbability,ChurnProbabilityPercent,RiskCategory,RevenueAtRisk,EstimatedCLV,PriorityScore
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,19.223529411764705,0,227.39999999999998,1,High Risk Customers,Offer retention discount,0.0031710048,0.3171005,Low,0.06009054135065525,303.2,18.219452137518672
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,96.28983050847458,0,1204.1999999999998,0,Premium Customers,Provide VIP benefits,0.15707546,15.707546,Low,15.76252288520336,5820.299999999999,91742.61194874911
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,100.726,0,1244.4,0,Premium Customers,Provide VIP benefits,0.7590396,75.90396,High,78.71240453124047,5081.3,399961.3411445922
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,103.3096153846154,0,1266.0,2,New Customers,Onboarding campaign,0.6178311,61.78311,High,65.18118220567703,2637.5,171915.36806747317
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,112.78785714285713,0,1359.0,0,Premium Customers,Provide VIP benefits,0.014519039,1.4519038,Low,1.6442811226006597,7814.25,12848.823762282205
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,19.300943396226415,0,247.79999999999998,1,High Risk Customers,Offer retention discount,0.008981176,0.89811754,Low,0.1854612786322832,1073.8,199.1483209953457
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,102.53125,0,1280.4,0,Premium Customers,Provide VIP benefits,0.029013947,2.9013946,Low,3.0957881078124045,7575.7,23452.761968354433
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,48.03181818181818,1,662.4000000000001,2,New Customers,Onboarding campaign,0.14000036,14.000036,Low,7.7280197739601135,552.0,4265.866915225983
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,84.67727272727274,0,1080.6,2,New Customers,Onboarding campaign,0.5120299,51.202988,Medium,46.10829125642776,1891.05,87193.08418046772
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,19.825,1,475.79999999999995,1,High Risk Customers,Offer retention discount,0.97654974,97.654976,Critical,38.720197373628615,39.65,1535.2558258643746
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,15.557692307692308,0,237.60000000000002,1,High Risk Customers,Offer retention discount,0.046831526,4.6831527,Low,0.9272642120718956,237.60000000000002,220.3179767882824
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,10.075,1,241.79999999999998,1,High Risk Customers,Offer retention discount,0.75085115,75.08511,High,15.12965075969696,20.15,304.86246280789373
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,59.40847457627118,0,718.8,0,Premium Customers,Provide VIP benefits,0.017288094,1.7288095,Low,1.035556853748858,3474.2,3597.7316212942824
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,59.406000000000006,0,715.2,0,Premium Customers,Provide VIP benefits,0.098963976,9.896398,Low,5.898252964019775,2920.4,17225.257956123354
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,49.37419354838709,0,663.5999999999999,2,New Customers,Onboarding campaign,0.14742135,14.742134,Low,8.152400384843348,1659.0,13524.832238455116
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,98.940625,0,1192.1999999999998,0,Premium Customers,Provide VIP benefits,0.79748195,79.74819,High,79.22983213961123,4669.45,369959.73968430766
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,15.1,1,362.4,1,High Risk Customers,Offer retention discount,0.74115396,74.115395,High,22.38284945487976,30.2,675.9620535373688
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,87.2527397260274,0,1083.0,0,Premium Customers,Provide VIP benefits,0.0009646197,0.09646197,Low,0.08705692656803876,6498.0,565.6959088391159
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,60.727777777777774,0,776.4000000000001,2,New Customers,Onboarding campaign,0.5432657,54.32657,Medium,35.149290812015536,1099.9,38660.70496413589
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,93.98541666666667,0,1156.1999999999998,0,Premium Customers,Provide VIP benefits,0.01195454,1.195454,Low,1.1518199662677944,6840.849999999999,7879.427616243041
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,60.550000000000004,1,1146.0,2,New Customers,Onboarding campaign,0.46241707,46.241707,Medium,44.160829812288284,191.0,8434.718494147062
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,66.94464285714285,0,793.8000000000001,2,New Customers,Onboarding campaign,0.08464676,8.464676,Low,5.5993832677602775,1786.0500000000002,10000.778485383245
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,10.1,1,242.39999999999998,1,High Risk Customers,Offer retention discount,0.29416198,29.416197,Low,5.942071902751922,20.2,120.02985243558882
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,22.625,1,543.0,1,High Risk Customers,Offer retention discount,0.5733817,57.338173,Medium,25.94552291929722,45.25,1174.0349120981991
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,99.33835616438355,0,1198.8000000000002,0,Premium Customers,Provide VIP benefits,0.0031086213,0.31086212,Low,0.31055127207655464,7192.8,2233.7331897922422
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,52.81666666666666,1,836.4000000000001,2,New Customers,Onboarding campaign,0.7549664,75.496635,High,52.62115656137467,348.5,18338.473061639073
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,75.49574468085106,0,897.5999999999999,0,Premium Customers,Provide VIP benefits,0.17313533,17.313532,Low,12.95052233338356,3440.7999999999997,44560.15724470615
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,101.40714285714286,0,1276.1999999999998,0,Premium Customers,Provide VIP benefits,0.7096239,70.96239,High,75.46849891841411,3615.8999999999996,272886.54523909354
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,92.11666666666667,1,1174.1999999999998,2,New Customers,Onboarding campaign,0.9846443,98.46443,Critical,96.34744414687157,1076.35,103703.5715074852
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,43.24545454545454,1,594.5999999999999,1,High Risk Customers,Offer retention discount,0.03148536,3.148536,Low,1.5600995937362312,495.5,773.0293486963026
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,68.62464788732395,0,830.4000000000001,0,Premium Customers,Provide VIP benefits,0.015785562,1.5785562,Low,1.092360881716013,4844.0,5291.396111032367
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,23.23611111111111,0,249.0,1,High Risk Customers,Offer retention discount,0.025758956,2.5758955,Low,0.5344983292743564,352.75,188.5442856515292
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,75.96015625,0,958.1999999999999,0,Premium Customers,Provide VIP benefits,0.013852316,1.3852316,Low,1.1061074289958923,5030.549999999999,5564.328726935285
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,70.10357142857143,0,914.4000000000001,2,New Customers,Onboarding campaign,0.120800905,12.0800905,Low,9.20502895563841,990.6,9118.501683455408
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,78.134,0,1014.0,0,Premium Customers,Provide VIP benefits,0.39574137,39.57414,Low,33.440146043896675,4140.5,138458.92469475418
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,32.333333333333336,1,591.0,1,High Risk Customers,Offer retention discount,0.4403788,44.03788,Medium,21.68865516781807,98.5,2136.33253403008
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,48.050000000000004,1,967.8000000000001,2,New Customers,Onboarding campaign,0.82706463,82.70647,Critical,66.70276268124582,161.3,10759.155620484951
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,79.5811320754717,0,957.0,0,Premium Customers,Provide VIP benefits,0.021300513,2.1300514,Low,1.6987159354612231,4147.0,7044.574984357692
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,60.77285714285715,0,769.8000000000001,0,Premium Customers,Provide VIP benefits,0.017898459,1.789846,Low,1.1481861440464856,4426.35,5082.273738700162
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,87.24431818181819,0,1083.0,0,Premium Customers,Provide VIP benefits,0.29184583,29.184584,Low,26.33908600360155,3880.75,102215.40800847672
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,89.15,0,1189.1999999999998,2,New Customers,Onboarding campaign,0.74668473,74.66847,High,73.99645674824714,1486.5,109995.73295626938
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,67.40961538461539,0,834.0,2,New Customers,Onboarding campaign,0.060039103,6.00391,Low,4.172717660665512,1737.5,7250.096935406327
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,70.36666666666666,1,967.8000000000001,2,New Customers,Onboarding campaign,0.7985853,79.85853,High,64.40590409636498,645.2,41554.689322974686
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,73.05491803278689,0,898.1999999999999,0,Premium Customers,Provide VIP benefits,0.037375193,3.7375193,Low,2.797533202730119,4491.0,12563.721613460964
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,92.23947368421052,0,1145.4,2,New Customers,Onboarding campaign,0.9233685,92.33685,Critical,88.13552462160588,1718.1000000000001,151425.64485238108
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,98.6125,0,1195.8000000000002,0,Premium Customers,Provide VIP benefits,0.16367555,16.367554,Low,16.310268223285675,6277.950000000001,102395.04839237631
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,105.61716417910448,0,1301.4,0,Premium Customers,Provide VIP benefits,0.14267947,14.267947,Low,15.473588282614946,7157.7,110755.302850473
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,25.55142857142857,0,299.4,1,High Risk Customers,Offer retention discount,0.015815059,1.5815059,Low,0.3945857151411474,848.3,334.7270621542353
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,107.58493150684932,0,1290.0,0,Premium Customers,Provide VIP benefits,0.028242232,2.8242233,Low,3.036039969883859,7740.0,23498.94936690107
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,98.06458333333335,0,1206.0,0,Premium Customers,Provide VIP benefits,0.4264214,42.64214,Medium,42.85535109043121,4723.5,202427.25087565184
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,89.35573770491803,0,1078.8000000000002,0,Premium Customers,Provide VIP benefits,0.17584366,17.584366,Low,15.808344680070878,5394.0,85270.21120430231
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,40.57534246575342,0,505.20000000000005,0,Premium Customers,Provide VIP benefits,0.012846254,1.2846254,Low,0.5408272854983807,3031.2000000000003,1639.3556678026916
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,50.373684210526314,0,652.8,2,New Customers,Onboarding campaign,0.07576084,7.576084,Low,4.121389770507812,979.1999999999999,4035.6648632812494
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,85.725,1,1132.8000000000002,2,New Customers,Onboarding campaign,0.9110332,91.103325,Critical,86.00153532028199,849.6,73066.90440811159
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,61.025,1,903.5999999999999,2,New Customers,Onboarding campaign,0.31099936,31.099936,Low,23.418252083659173,225.89999999999998,5290.1831456986065
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,76.04895833333333,0,946.8000000000001,0,Premium Customers,Provide VIP benefits,0.19621812,19.62181,Low,15.481609515845777,3708.3,57410.4525676109
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,78.0375,0,950.4000000000001,2,New Customers,Onboarding campaign,0.00811297,0.811297,Low,0.6425472088158131,2455.2000000000003,1577.5819070845844
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,18.25294117647059,0,241.79999999999998,1,High Risk Customers,Offer retention discount,0.007916439,0.7916439,Low,0.1595162523910403,1007.4999999999999,160.7126242839731
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,80.66818181818182,1,958.1999999999999,2,New Customers,Onboarding campaign,0.17880851,17.880852,Low,14.27785954773426,798.5,11400.870848865807
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,24.525,1,588.5999999999999,1,High Risk Customers,Offer retention discount,0.1742293,17.42293,Low,8.54594687372446,49.05,419.17869415618475
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,20.578301886792456,0,244.79999999999998,1,High Risk Customers,Offer retention discount,0.008869074,0.88690746,Low,0.18092911541461942,1060.8,191.92960563182828
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,109.21538461538462,0,1339.1999999999998,0,Premium Customers,Provide VIP benefits,0.034542307,3.4542308,Low,3.8549214899539948,7142.4,27533.39124984741
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,22.61269841269841,0,291.0,1,High Risk Customers,Offer retention discount,0.004654105,0.46541047,Low,0.11286204191856086,1503.5,169.68808002455626
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,44.35,1,774.0,2,New Customers,Onboarding campaign,0.1011454,10.11454,Low,6.523878403007984,193.5,1262.370470982045
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,107.71052631578948,0,1326.0,0,Premium Customers,Provide VIP benefits,0.11536637,11.536637,Low,12.747983828186989,6188.0,78884.52392882109
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,57.2095744680851,0,667.8,1,High Risk Customers,Offer retention discount,0.10536222,10.536222,Low,5.863407631963491,2559.9,15009.737197063341
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,53.583333333333336,1,655.8,2,New Customers,Onboarding campaign,0.08806181,8.806181,Low,4.812577891349792,437.2,2104.0590540981293
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,68.10645161290323,0,897.0,2,New Customers,Onboarding campaign,0.123574704,12.3574705,Low,9.237209118902683,2242.5,20714.441449139267
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,26.44782608695652,0,310.79999999999995,1,High Risk Customers,Offer retention discount,0.030804805,3.0804806,Low,0.797844461351633,1165.5,929.8877197053283
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,39.675,1,952.1999999999999,2,New Customers,Onboarding campaign,0.95781696,95.78169,Critical,76.0027756512165,79.35,6030.820247924028
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,47.112500000000004,1,606.5999999999999,2,New Customers,Onboarding campaign,0.13595414,13.595414,Low,6.872481858730316,556.05,3821.4435375469916
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,62.1125,1,901.8000000000001,2,New Customers,Onboarding campaign,0.7424345,74.243454,High,55.793952798843385,526.0500000000001,29350.408869831568
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,100.63953488372093,0,1245.6,0,Premium Customers,Provide VIP benefits,0.16836597,16.836597,Low,17.47638771235943,4359.599999999999,76190.05987080216
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,19.467,0,241.79999999999998,1,High Risk Customers,Offer retention discount,0.0065812743,0.6581274,Low,0.13261267768684773,987.3499999999999,130.93512731410908
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,91.875,1,1191.6,2,New Customers,Onboarding campaign,0.9570777,95.70777,Critical,95.03781382441521,893.6999999999999,84935.29421487986
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,61.540277777777774,0,745.8,2,New Customers,Onboarding campaign,0.04223579,4.2235794,Low,2.624954453110695,2175.25,5709.93217412904
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,21.571428571428573,0,247.79999999999998,1,High Risk Customers,Offer retention discount,0.0064602047,0.6460205,Low,0.13340322747826575,991.1999999999999,132.229279076457
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,19.72553191489362,0,239.39999999999998,1,High Risk Customers,Offer retention discount,0.006016865,0.6016865,Low,0.12003645489457994,917.6999999999999,110.157454656756
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,33.641666666666666,0,405.0,1,High Risk Customers,Offer retention discount,0.34771222,34.77122,Low,11.735287383198738,978.75,11485.912526305765
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,82.90967741935484,0,984.5999999999999,2,New Customers,Onboarding campaign,0.11800893,11.800893,Low,9.68263242021203,2461.5,23833.799702351913
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,37.35,1,896.4000000000001,2,New Customers,Onboarding campaign,0.28822365,28.822365,Low,21.53030695617199,74.7,1608.3139296260479
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,85.28731343283582,0,1008.0,0,Premium Customers,Provide VIP benefits,0.008309269,0.83092695,Low,0.6979786232113838,5544.0,3869.593487083912
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,107.68181818181819,0,1332.6,0,Premium Customers,Provide VIP benefits,0.06330964,6.330964,Low,7.0305354878306385,7218.25,50748.162785033506
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,102.17876712328767,0,1210.8000000000002,0,Premium Customers,Provide VIP benefits,0.03192045,3.1920452,Low,3.2207735735923055,7264.8,23398.275857433382
